id;name;gender;birth_year;age;day;condition_day;condition;trial;left;right;side.chosen;side.chosen.reli;repetition;repetition.reason;food.received;food.received.reli;food.remaining;food.remaining.reli;searched;searched.reli;seconds.until.searched;seconds.until.searched.reli;value.remaining.seen;value.remaining.seen.reli;turned.away;turned.away.reli;time.from.last.gaze.to.back.of.head.to.camera;time.from.last.gaze.to.back.of.head.to.camera.reli;emotional.displays;comments;;;;;
1;Bwambale;male;2000;21;6;no-choice_3;no-choice;3;low;none;left;;;;low;;none;;yes;;2;;worse;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;6;no-choice_3;no-choice;4;none;high;left;;;;none;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;6;no-choice_3;no-choice;5;low;high;right;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;6;no-choice_3;no-choice;6;none;none;left;;;;none;;none;;yes;;1;;same;;yes;;3;;no;;;;;;
8;Cocoa;female;2007;14;1;choice_1;choice;1;high;high;left;left ;;;high;high;high;high;yes;yes ;29;75;same;same ;no;no;NA;NA;no;;;;;;
8;Cocoa;female;2007;14;1;choice_1;choice;2;none;low;right;right ;;;low;low ;none;none;yes;yes ;1;4;worse;worse ;yes;yes;8;11;no;;;;;;
8;Cocoa;female;2007;14;1;choice_1;choice;3;high;none;right;right;;;none;none;high;high;yes;yes ;2;5;better;better;no;yes;NA;27;yes;screaming, hugging themself;;;;;
8;Cocoa;female;2007;14;1;choice_1;choice;4;low;low;left;left ;;;low;low ;low;low;no;no ;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
8;Cocoa;female;2007;14;1;choice_1;choice;5;high;none;left;left ;;;high;high ;none;none ;yes;yes ;17;17;worse;NA;no;NA;NA;NA;no;;;;;;
8;Cocoa;female;2007;14;1;choice_1;choice;6;none;none;left;left ;;;none;none ;none;none ;yes;yes ;1;3;same;same;yes;yes;1;1;no;a few grunts, jumped on the bars;;;;;
8;Cocoa;female;2007;14;3;choice_2;choice;1;high;low;left;left ;;;high;high ;low;low ;yes;yes ;28;28;worse;worse ;yes;yes ;2;1;no;;;;;;
8;Cocoa;female;2007;14;3;choice_2;choice;2;low;none;left;left ;;;low;low ;none;none ;yes;yes ;27;27;worse;NA;yes;NA;2;NA;no;;;;;;
8;Cocoa;female;2007;14;3;choice_2;choice;3;none;high;left;left ;;;none;none ;high;high ;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;opened mouth, made noises, hugged themself;;;;;
8;Cocoa;female;2007;14;3;choice_2;choice;4;high;low;left;left ;;;high;high ;low;low ;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
8;Cocoa;female;2007;14;3;choice_2;choice;5;none;low;left;left ;;;none;none;low;low ;yes;yes ;7;7;NA;NA;NA;NA;NA;NA;yes;opened mouth, made noises, hugged themself;;;;;
8;Cocoa;female;2007;14;3;choice_2;choice;6;low;high;left;left ;;;low;low ;high;high;yes;yes ;23;23;worse;NA;yes;NA;6;15;yes;exit was not opened, jumped, hugged themself;;;;;
8;Cocoa;female;2007;14;5;choice_3;choice;1;low;low;left;left ;;;low;low ;low;low ;yes;yes ;1;3;same;same ;yes;yes;2;4;no;;;;;;
8;Cocoa;female;2007;14;5;choice_3;choice;2;high;high;left;left ;;;high;high ;high;high ;yes;yes ;2;3;same;same ;yes;yes ;6;6;no;;;;;;
8;Cocoa;female;2007;14;5;choice_3;choice;3;low;none;left;left ;;;low;low ;none;none ;yes;yes ;1;1;worse;NA;yes;NA;16;NA;no;;;;;;
